,frase,classificacao
0,Can't talk. Robbed. Go hell.,negativo
1,Dad! We've been robbed!,negativo
2,"Wake up, Dad! Wake up! There was a burglar and he took my saxophone.",negativo
3,Woo hoo!,positivo
4,And our portable TV!,negativo
5,And my necklace.,negativo
6,"Eh, that's no big loss.",neutro
7,Homer! That necklace was a priceless Bouvier family heirloom.,negativo
8,"Oh, you've probably got a whole drawer full of 'em.",neutro
9,"Well... Yes, I do. But they're all heirlooms, too.",neutro
10,The burglar even took my stamp collection.,negativo
11,YOU had a stamp collection?,neutro
12,Stamp collection. Haw haw!,positivo
13,"Bart's pain is funny, but mine isn't. That saxophone was my one creative outlet. It was the only way I could truly express myself.",negativo
14,"Shhh, quiet Lisa.",negativo
15,"Hey, the burglar left his calling card.",neutro
16,"""You have just been robbed by The Springfield Cat Burglar""... Cute.",neutro
17,"Hidilly ho, neighboreenos.",positivo
18,You folks got robbed too? The burglar took my Shroud of Turin beach towels.,negativo
19,Wow. It's a crime wave.,negativo
20,Good Lord! My Stormin' Norman Commemorative Plates stolen... again.,negativo
21,Hey! I thought I had more stuff than this.,negativo
22,"We are insured, aren't we, Mom?",neutro
23,"Homer, tell your child what you bought when I sent you to town to get some insurance.",negativo
24,"Curse you, Magic Beans.",negativo
25,"Oh, stop blaming the beans.",negativo
26,"Hello, police? Are you sitting down? Good. I wish to report a robbery!",negativo
27,"A robbery, right. Thanks for the report.",neutro
28,"Another one, Lou. 723 Evergreen Terrace.",negativo
29,"Well, there doesn't seem to be any pattern, yet. But if I take this one and move it here, and move these over here... Hello... It almost looks like an arrow.",neutro
30,"Hey look, Chief. It's pointing right at this police station.",neutro
31,Let's get outta here!,negativo
32,"When cat burglaries start, can mass murders be far behind? This reporter isn't saying that the burglar is an inhuman monster like the Wolfman, but he very well could be.",negativo
33,"So, professor, would you say it's time for everyone to panic?",negativo
34,"Yes I would, Kent.",negativo
35,"Ladies and gentlemen, ladies and gentlemen please, we have a major break in the case. We recovered the burglar's handkerchief from one of the crime scenes. Now one sniff of this baby and our tracking dog will be hot on his trail. Gosh, look at me, I'm sweating like a pig here...",positivo
36,Ahhh. Aw man... that's better.,positivo
37,"Alright, get the scent, boy. Come on. Get the scent. Now kill! Go on.",negativo
38,"Ow, my jugular! Any questions?",negativo
39,Let me check my reason list.,neutro
40,Yep. It's on here.,neutro
41,"Well, as you can see, when the burglar trips the alarm, the house raises from its foundations and runs down the street and around a corner to safety.",positivo
42,"Well, the the real humans won't uh.. won't burn quite so fast there.",neutro
43,Cool! High-tech security system.,positivo
44,"Alright, free laserium. All the colors of the bow, man.",positivo
45,My cataracts are gone! I can see again! All the beauty of nat...,positivo
46,"I'm blind! Oh well, easy come easy go.",neutro
47,"It's the cat burglar! Please, don't kill me!",negativo
48,"Abe, can I use your ointment?",neutro
49,"Oh, it's you, Molloy. Alright. But this time clean off the applicator.",neutro
50,Thank you for coming. I'll see you in Hell.,negativo
51,"Alright, these are our new family security rules: Be home before dark, and make sure you're not followed, lock all doors and windows.",neutro
52,And don't take candy from strangers.,neutro
53,"Marge, they're only human.",neutro
54,What's the point of all these precautions? I've already lost the only thing that matters to me.,negativo
55,"Oh Lisa, stop pining for your saxophone. I got you another instrument.",positivo
56,"What, this jug?",neutro
57,"Lisa, never, ever stop in the middle of a hoe-down.",negativo
58,"Aw, honey. I didn't realize how much that horn meant to you. Don't worry. Daddy's gonna get it back. I don't know how, but I'll figure out something.",positivo
59,Thank you.,positivo
60,"You know Lisa, music helps daddy think.",neutro
61,"Hey, you're that drunken posse. Wow, can I join you?",positivo
62,I dunno. Can you swing a sack of door knobs?,neutro
63,Can I?!,positivo
64,"Welcome, neighbors... since the police can't seem to get off their dufferoonies to do something about this burglarino, I think it's time we start our own neighborhood watch... arooni!",positivo
65,"Now, who should lead the group?",neutro
66,You!,neutro
67,Yeah! Flanders! Flanders! Flanders!,positivo
68,"I don't really have very much experience, but I'll be---",neutro
69,Someone else!,neutro
70,Yeah! Someone else! Someone else! Someone else!,neutro
71,I'm someone else!,neutro
72,He's right!,positivo
73,"We don't need a thinker, we need a doer. Someone who'll act without considering the consequences.",neutro
74,Homer! Homer! Homer!,positivo
75,"I'm with you, Homer.",positivo
76,"I be with ya too, matey.",positivo
77,"I'm with you, Homer.",positivo
78,"You're the man, Homer.",positivo
79,You're so good.,positivo
80,"You're the man, man.",positivo
81,I'll join! I'm filled with piss and vinegar. At first I was just filled with vinegar...,positivo
82,"Sorry, Dad. You're too old.",negativo
83,"Too old! Why that just means I have experience. Who chased the Irish out of Springfield Village in ought four? Me, that's who!",positivo
84,And a fine job ye did too!,positivo
